"LOCATION","Location","TIME","Time","Value","Flag Codes","Flags"
"OAM","Other OECD America","1990","1990",4.8443,,
"OAM","Other OECD America","1991","1991",4.9913,,
"OAM","Other OECD America","1992","1992",5.2719,,
"OAM","Other OECD America","1993","1993",5.4536,,
"OAM","Other OECD America","1994","1994",5.9444,,
"OAM","Other OECD America","1995","1995",6.1295,,
"OAM","Other OECD America","1996","1996",6.5263,,
"OAM","Other OECD America","1997","1997",6.9609,,
"OAM","Other OECD America","1998","1998",7.226,,
"OAM","Other OECD America","1999","1999",7.7145,,
"OAM","Other OECD America","2000","2000",8.0605,,
"OAM","Other OECD America","2001","2001",8.1962,,
"OAM","Other OECD America","2002","2002",8.6565,,
"OAM","Other OECD America","2003","2003",8.9493,,
"OAM","Other OECD America","2004","2004",9.4476,,
"OAM","Other OECD America","2005","2005",9.6422,,
"OAM","Other OECD America","2006","2006",10.1731,,
"OAM","Other OECD America","2007","2007",10.6604,,
"OAM","Other OECD America","2008","2008",10.0797,,
"OAM","Other OECD America","2009","2009",10.2571,,
"OAM","Other OECD America","2010","2010",11.0207,,
"OAM","Other OECD America","2011","2011",11.3493,,
"OAM","Other OECD America","2012","2012",11.6574,,
"OAM","Other OECD America","2013","2013",12.0298,,
"OAM","Other OECD America","2014","2014",12.1154,,
"OAM","Other OECD America","2015","2015",12.393,,
"OAM","Other OECD America","2016","2016",12.4843,,
"OAM","Other OECD America","2017","2017",12.5225,,
"OAM","Other OECD America","2018","2018",12.8097,,
"OAM","Other OECD America","2019","2019",13.1231,,
"O22","OECD EU ","1990","1990",32.8194,,
"O22","OECD EU ","1991","1991",33.4454,,
"O22","OECD EU ","1992","1992",34.9293,,
"O22","OECD EU ","1993","1993",35.7164,,
"O22","OECD EU ","1994","1994",38.4694,,
"O22","OECD EU ","1995","1995",39.1844,,
"O22","OECD EU ","1996","1996",41.1993,,
"O22","OECD EU ","1997","1997",43.3769,,
"O22","OECD EU ","1998","1998",44.4327,,
"O22","OECD EU ","1999","1999",46.7901,,
"O22","OECD EU ","2000","2000",48.2022,,
"O22","OECD EU ","2001","2001",48.3047,,
"O22","OECD EU ","2002","2002",50.2569,,
"O22","OECD EU ","2003","2003",51.1577,,
"O22","OECD EU ","2004","2004",53.1486,,
"O22","OECD EU ","2005","2005",53.3543,,
"O22","OECD EU ","2006","2006",55.3383,,
"O22","OECD EU ","2007","2007",56.9738,,
"O22","OECD EU ","2008","2008",52.8945,,
"O22","OECD EU ","2009","2009",52.8157,,
"O22","OECD EU ","2010","2010",55.7507,,
"O22","OECD EU ","2011","2011",56.3662,,
"O22","OECD EU ","2012","2012",56.7996,,
"O22","OECD EU ","2013","2013",57.4599,,
"O22","OECD EU ","2014","2014",56.6822,,
"O22","OECD EU ","2015","2015",56.774,,
"O22","OECD EU ","2016","2016",58.4043,,
