Year,Bayern Munich,Borussia Dortmund,Bayer 04 Leverkusen,Borussia Mönchengladbach,RB Leipzig,Ajax Amsterdam,Feyenoord Rotterdam,PSV Eindhoven,AZ Alkmaar,FC Utrecht,Chelsea FC,Manchester United,Arsenal FC,Manchester City,Liverpool FC,FC Porto,SL Benfica,SC Braga,Sporting CP,Vitória Guimarães SC,Olympique Lyon,LOSC Lille,Paris Saint-Germain,Olympique Marseille,AS Monaco,Zenit St. Petersburg,CSKA Moscow,Spartak Moscow,Lokomotiv Moscow,FK Krasnodar,Valencia CF,Atlético de Madrid,Real Madrid,Sevilla FC,FC Barcelona,AC Milan,SSC Napoli,Juventus FC,AS Roma,Inter Milan
2012,70800000,60650000,35580000,57450000,,38470000,8100000,10250000,16450000,1550000,135150000,86100000,121850000,106250000,81050000,86910000,104725000,9350000,25890000,300000,38850000,63700000,155750000,38500000,,90510000,22700000,37800000,28700000,24570000,53200000,25850000,72000000,26200000,33500000,148120000,65900000,,,139851000
2013,102000000,99975000,60545000,11150000,,31350000,3000000,60385000,23450000,4700000,208280000,78930000,61400000,126800000,90600000,116240000,101450000,12561000,39315000,5250000,28500000,44950000,162400000,40450000,166250000,60300000,33900000,51850000,54000000,29000000,69570000,106195000,289000000,126275000,129100000,60530000,181650000,114592000,195780000,70890000
2014,102100000,70000000,56155000,30650000,,42850000,40400000,10295000,5000000,6600000,280510000,242050000,146780000,133100000,250700000,149810000,143300000,17950000,42290000,7242000,7150000,27530000,51700000,38000000,128870000,23800000,26035000,26100000,17660000,4350000,110500000,209650000,238700000,71500000,248520000,45100000,55251000,83707000,142110000,40450000
2015,123750000,62550000,121250000,53700000,,17300000,29300000,77800000,24500000,950000,183990000,256670000,29000000,275906000,217050000,177650000,139650000,32530000,28790000,9750000,67900000,48150000,139000000,74200000,276460000,22290000,1000000,33780000,24400000,,193900000,271000000,103050000,105450000,89300000,113430000,60990000,266779000,194349000,217770000
2016,122300000,252100000,87000000,86350000,95250000,121400000,6100000,21800000,31650000,9725000,241700000,232250000,123350000,250350000,165280000,55708000,165120000,44391000,117245000,12050000,55900000,67700000,194300000,134490000,68950000,130900000,22000000,28350000,10050000,28900000,157900000,122800000,67500000,175150000,158550000,54710000,215895000,347129000,146032000,178350000
2017,148750000,398540000,142100000,68330000,88040000,109450000,60100000,71250000,17700000,17100000,455100000,243900000,314850000,408850000,358150000,91450000,142650000,37922000,97712000,16100000,177600000,107600000,336400000,64750000,321900000,111720000,2300000,22000000,4950000,17500000,71550000,199600000,173000000,159650000,612600000,220960000,85450000,323250000,246150000,216790000
2018,94000000,204700000,76500000,65500000,138380000,70500000,10950000,38800000,37025000,8950000,292050000,113250000,89250000,136190000,223520000,112610000,100490000,27760000,111965000,16780000,136550000,78600000,376000000,98850000,513100000,78000000,54320000,40350000,17600000,37400000,198000000,225900000,300850000,174850000,287150000,281870000,171300000,371370000,314563000,185020000
2019,193500000,280750000,131700000,74600000,131750000,277450000,33700000,138450000,25800000,5250000,202266000,315980000,214450000,230520000,54900000,151250000,304790000,35900000,144925000,23400000,284320000,249400000,200900000,54250000,283750000,87650000,28500000,73250000,19950000,49700000,131300000,556350000,491000000,310180000,451400000,182005000,252290000,433643000,223780000,258456000
2020,99500000,55500000,137200000,13500000,114500000,172700000,6540000,24400000,15450000,4850000,304350000,103300000,105150000,248950000,99850000,98880000,191500000,60250000,83325000,8950000,83850000,144605000,62400000,49470000,66230000,39870000,33253000,19750000,32010000,7850000,87900000,174300000,104200000,92430000,260800000,82370000,199310000,261910000,120100000,208050000
2021,61500000,153250000,98450000,25700000,221120000,64500000,14400000,67570000,62150000,8550000,237950000,170700000,198820000,228300000,116550000,107100000,75000000,33760000,38170000,10500000,118520000,95460000,100500000,54620000,80250000,58260000,44940000,31493000,52170000,48240000,15550000,115450000,109000000,70000000,140050000,84200000,25400000,187500000,140570000,244050000
2022,249900000,183800000,24600000,46500000,135120000,329320000,103475000,104250000,36700000,11600000,681590000,254790000,216160000,312700000,213000000,134000000,336450000,60200000,179250000,21315000,111300000,127000000,206800000,155030000,200500000,12835000,21885000,32694000,32400000,19630000,67100000,49750000,172150000,120900000,192000000,61720000,149000000,209800000,76100000,47000000
