year,Manchester City,Manchester United,Liverpool FC,Arsenal FC,Chelsea FC,Bayern Munich,Borussia Dortmund,Bayer 04 Leverkusen,RB Leipzig,Borussia Mönchengladbach,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,FC Utrecht,AZ Alkmaar,FC Porto,SL Benfica,Sporting CP,SC Braga,Vitória Guimarães SC,Paris Saint-Germain,Olympique Marseille,Olympique Lyon,AS Monaco,LOSC Lille,Spartak Moscow,Zenit St. Petersburg,CSKA Moscow,Lokomotiv Moscow,FK Krasnodar,Real Madrid,FC Barcelona,Atlético de Madrid,Sevilla FC,Valencia CF,Juventus FC,Inter Milan,AC Milan,AS Roma,SSC Napoli
2012,23,28,16,21,22,29,19,19,0,12,22,22,21,19,10,24,24,11,16,11,25,21,19,-,16,15,18,20,12,14,26,32,23,14,19,27,16,21,18,23
2013,27,19,26,24,25,29,22,19,0,16,20,18,20,11,13,19,23,20,10,10,27,16,17,23,20,15,19,20,17,15,27,27,28,18,13,33,15,16,26,23
2014,24,20,18,22,26,25,13,17,0,19,21,29,17,11,19,25,27,22,17,15,24,21,22,20,16,12,20,19,11,17,30,30,23,23,22,26,14,13,29,18
2015,19,19,16,20,12,28,24,19,0,17,25,26,19,15,18,23,29,27,16,9,30,10,19,17,15,15,17,20,14,16,28,29,28,14,11,29,20,15,23,25
2016,23,18,22,23,30,25,18,11,20,12,25,22,26,18,12,22,25,21,15,18,27,17,21,30,13,22,18,18,10,12,29,28,23,21,13,29,19,18,28,26
2017,32,25,21,19,21,27,15,15,15,13,25,26,20,14,22,28,25,24,24,13,29,22,23,24,10,16,14,17,18,16,22,28,23,17,22,30,20,18,23,28
2018,32,19,30,21,21,24,23,18,19,16,28,26,20,15,17,27,28,23,21,15,29,18,21,8,22,14,20,14,16,16,21,26,22,17,15,28,20,19,18,24
2019,26,18,32,14,20,26,21,19,18,20,18,14,14,12,18,26,24,18,18,13,22,16,11,11,15,11,22,14,16,14,26,25,18,19,14,26,24,19,21,18
2020,27,21,20,18,19,24,20,14,19,13,28,21,16,13,21,24,23,26,19,12,26,16,22,24,24,17,19,15,17,12,25,24,26,24,10,23,28,24,18,24
2021,29,16,28,22,21,24,22,19,17,12,26,26,22,12,18,29,23,27,19,13,26,21,17,20,14,10,19,15,13,14,26,21,21,18,11,20,25,26,18,24
2022,28,23,19,26,11,21,22,14,20,11,20,23,25,15,20,27,28,23,25,16,27,22,18,19,19,15,21,17,13,13,24,28,23,13,11,22,23,20,18,28
