,order_id,label,min_day_of_week_AVAILABLE,min_day_of_week_OTW_DROPOFF,min_day_of_week_OTW_PICKUP,min_day_of_week_UNAVAILABLE,days_diff_AVAILABLE,days_diff_OTW_DROPOFF,days_diff_OTW_PICKUP,days_diff_UNAVAILABLE,max_distance_AVAILABLE,max_distance_OTW_DROPOFF,max_distance_OTW_PICKUP,max_distance_UNAVAILABLE,total_distance_AVAILABLE,total_distance_OTW_DROPOFF,total_distance_OTW_PICKUP,total_distance_UNAVAILABLE,max_time_diff_AVAILABLE,max_time_diff_OTW_DROPOFF,max_time_diff_OTW_PICKUP,max_time_diff_UNAVAILABLE,total_time_diff_AVAILABLE,total_time_diff_OTW_DROPOFF,total_time_diff_OTW_PICKUP,total_time_diff_UNAVAILABLE,avg_velocity_AVAILABLE,avg_velocity_OTW_DROPOFF,avg_velocity_OTW_PICKUP,avg_velocity_UNAVAILABLE,is_weekend_AVAILABLE,is_weekend_OTW_DROPOFF,is_weekend_OTW_PICKUP,is_weekend_UNAVAILABLE,is_business_hour_AVAILABLE,is_business_hour_OTW_DROPOFF,is_business_hour_OTW_PICKUP,is_business_hour_UNAVAILABLE,min_acc_y_AVAILABLE,min_acc_y_OTW_DROPOFF,min_acc_y_OTW_PICKUP,min_acc_y_UNAVAILABLE,max_acc_y_AVAILABLE,max_acc_y_OTW_DROPOFF,max_acc_y_OTW_PICKUP,max_acc_y_UNAVAILABLE,mean_acc_y_AVAILABLE,mean_acc_y_OTW_DROPOFF,mean_acc_y_OTW_PICKUP,mean_acc_y_UNAVAILABLE,median_acc_y_AVAILABLE,median_acc_y_OTW_DROPOFF,median_acc_y_OTW_PICKUP,median_acc_y_UNAVAILABLE,GO_FOOD,GO_RIDE
0,RB193,0,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,0.615575946586336,0.0595292643145713,0.0433875422696988,,2.2329409314999085,1.0675596139575216,0.1567915663035613,0.0,578.0,11.0,17.0,0.0,1350.0,371.0,170.0,0.0,5.954509150666422,10.359069030315574,3.3202919923107106,,0.0,0.0,0.0,0.0,0,0,0,0,3.0,3.0,3.0,23.027,9.577,9.0,9.0,23.027,4.184957746478873,4.080289473684211,5.981111111111111,23.027,3.842,3.581,6.201499999999999,23.027,0,1
1,F1452,0,0.0,0.0,0.0,,0 days,0 days,0 days,,4.495371831066076,0.291743510756509,0.0792175489310153,,6.008055886950786,9.044432322314767,1.006878218484893,,2876.0,28.0,16.0,,3899.0,1944.0,909.0,,5.5473201315780525,16.748948745027345,3.9876365088510615,,0.0,0.0,0.0,,1,1,1,,3.0,3.0,3.0,,5.893,98.753,22.045,,3.629132352941177,7.556752577319587,7.760373626373626,,3.0,3.9,3.412,,1,0
2,F943,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,1.7312940612449206,0.1083057422529252,0.1651824653566474,0.1769865360979242,3.0673115428573645,1.7827956998197552,1.448257879095969,0.1769865360979242,1596.0,52.0,38.0,601.0,2755.0,903.0,667.0,601.0,4.008102197563162,7.1074911620721135,7.816684205015725,1.0601522960940557,0.0,0.0,0.0,0.0,1,1,1,1,0.01,3.0,0.01,0.01,9.648,59.751,35.97,0.01,3.58530701754386,10.555709302325582,4.506515625,0.01,5.934,6.396,3.216,0.01,1,0
3,F1999,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,0.3648254158094882,0.0844469633664912,0.012018622583034,0.3531010591618142,2.015147731819207,0.5160700776343786,0.0253517450128469,0.4901515187316023,664.0,15.0,10.0,859.0,1335.0,380.0,250.0,1104.0,5.434106243107974,4.889084946009903,0.3650651281849965,1.5983201697769642,0.0,0.0,0.0,0.0,0,0,0,0,0.01,3.0,0.01,0.01,9.648,6.138,17.487,3.9,3.502666666666667,4.285447368421053,1.9293846153846157,2.303333333333333,3.147,3.216,0.01,3.0,1,0
4,F415,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,0.4532536272562095,0.1613635082400418,0.1130702359962491,,0.9121199612425664,1.6585832527494244,0.970068342691744,0.0,1093.0,61.0,20.0,0.0,1494.0,668.0,390.0,0.0,2.197879424680883,8.938472619607678,8.954477009462254,,0.0,0.0,0.0,0.0,1,1,1,1,0.01,5.934,0.01,0.01,16.778,73.707,11.489,0.01,1.2414,11.142629032258064,4.609076923076922,0.01,0.01,7.2195,3.9,0.01,1,0
5,RB865,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,0.8948143747834942,0.0922714262601242,0.7495439704161273,0.9843984265057416,1.730148147353168,0.9478874473985456,2.326508890677259,1.074265567669922,659.0,10.0,557.0,824.0,1389.0,230.0,1227.0,928.0,4.484185263118363,14.836499176672888,6.8259429555323,4.167409529754008,0.0,0.0,0.0,0.0,0,0,0,0,0.01,3.0,0.01,0.01,6.61,3.9,7.799,3.815,2.41444776119403,3.49875,2.411507246376812,0.96125,3.0,3.483,3.0,0.01,0,1
6,F1994,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,1.954342561552313,0.3360294533114324,0.1405297195319804,,1.954342561552313,5.88486213122298,0.1637278662679434,0.0,2861.0,66.0,16.0,0.0,3520.0,1512.0,800.0,0.0,1.9987594379512288,14.011576502911858,0.7367753982057457,,0.0,0.0,0.0,0.0,1,1,1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0
7,F1570,1,0.0,,0.0,,0 days,,0 days,,0.9745090894252804,,0.2086089155938383,,1.321608884688335,,0.2741598969009398,,437.0,,16.0,,946.0,,411.0,,5.029378419532775,,2.401400556796553,,0.0,,0.0,,1,,1,,3.0,,3.0,,6.0,,16.0,,4.96002,,4.193025641025641,,5.0,,3.755,,1,0
8,F630,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,1.456147806431337,0.1219898465190633,0.1031738366671608,,2.834485006061332,2.362888650968484,0.7162187424005312,0.0,983.0,16.0,46.0,0.0,1395.0,576.0,352.0,0.0,7.314800015642148,14.768054068553024,7.324964410914523,,0.0,0.0,0.0,0.0,1,1,1,1,4.157,3.0,3.319,5.307,5.512,21.947,18.516,5.307,4.991289473684211,6.409864406779661,6.574766666666666,5.307,5.0,4.0,5.0,5.307,1,0
9,F842,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,5.546394605001677,0.1199362572120474,0.1254763336456213,5.365429538160275,6.014569702492933,6.7870838950991095,0.1349378982957395,5.365429538160275,1959.0,16.0,19.0,2243.0,2644.0,1740.0,191.0,2243.0,8.189277961034252,14.042242541584365,2.5433321144746723,8.61147852758671,0.0,0.0,0.0,0.0,1,1,1,1,3.164,3.0,3.331,3.257,5.0,9.439,7.688,5.0,4.952205882352941,5.3733257142857145,4.479777777777778,4.1285,5.0,5.0,4.5205,4.1285,1,0
10,RB153,0,0.0,,,,0 days,,,,0.0967243212182619,,,,0.8455363065527063,,,,10.0,,,,430.0,,,,7.078908612999402,,,,0.0,,,,1,,,,3.341,,,,18.224,,,,6.891272727272727,,,,6.5545,,,,0,1
11,RB593,1,0.0,0.0,0.0,0.0,0 days,0 days,0 days,0 days,0.2214795280039014,0.0688212806794175,0.0072740723007877,,1.405706816314663,0.5225884034775033,0.05068289602205,0.0,430.0,10.0,91.0,0.0,1606.0,130.0,271.0,0.0,3.1510239967202907,14.47167886553086,0.6732783235401478,,0.0,0.0,0.0,0.0,0,0,0,0,0.01,3.0,5.727,10.776,899.999,12.0,14.913,10.776,47.25393043478261,6.891285714285714,8.8918,10.776,9.426,6.88,8.6715,10.776,0,1
